price,brand,PoorCount,GoodRateShow,PreferentialPrice,p_Name,ProductID,keyword,type_f,type_data,GoodCount,type,shop_name,CommentCount,GeneralCount
1000.00,飞利浦（PHILIPS）,400,98,999.00,飞利浦(PHILIPS)吸尘器FC8760/81家用无尘袋大功率(酒红色),729221,吸力很大 电源线够长 功率大 吸尘器不错 吸尘很干净 质量不错 打扫干净 使用方便 噪音小 吸力持久 小巧轻便 外观漂亮 吸力很大 质量不错 配件齐全 吸尘器不错 功率大,,,47000,地面吸头，缝隙吸头，小吸头,飞利浦品牌旗舰店,48000,600
3691.00,DYSON,7,98,3690.00,戴森(Dyson) 吸尘器 V7 FLUFFY手持吸尘器家用除螨无线,4838712,外观漂亮 使用方便 吸尘很干净 吸力很大 打扫干净 吸尘器不错 小巧轻便 质量不错 刷头多样 配件齐全,,,900,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头,戴森官方旗舰店,900,10
799.00,小狗（puppy）,200,98,799.00,小狗（puppy） 小型静音除螨大功率家用吸尘器D-9005  ,1351586523,吸尘器不错 吸力很大 质量不错 吸尘很干净 电源线够长 使用方便 打扫干净 功率大 噪音小 吸头很多 吸力持久 小巧轻便 吸尘很干净 易收纳 打扫干净 尘杯容量大 吸力很大 刷头多样 质量不错,,,46000,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头,小狗电器官方旗舰店,47000,500
2699.00,DYSON,2,98,2590.00,戴森(Dyson) 吸尘器 V6 EXTRA手持吸尘器家用除螨无线,4070741,外观漂亮 小巧轻便 使用方便 吸尘很干净 吸力很大 吸尘器不错 打扫干净 吸头很多 刷头多样 功率大 质量不错 吸尘器不错 小巧轻便 吸头很多 易收纳 小巧轻便 打扫干净 噪音小 使用方便,,,500,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头,戴森官方旗舰店,500,10
1200.00,飞利浦（PHILIPS）,80,98,1199.00,飞利浦（PHILIPS）吸尘器FC6162/81无绳充电式手持立式二合一,1077571,使用方便 质量不错 吸尘器不错 吸尘很干净 打扫干净 小巧轻便 外观漂亮 噪音小 吸力很大 配件齐全 易收纳 外观漂亮 打扫干净 质量不错 噪音小 配件齐全,,,10000,地面吸头，缝隙吸头,飞利浦品牌旗舰店,11000,100
2991.00,DYSON,1,99,2990.00,戴森(Dyson) 吸尘器 V6 ANIMAL+手持吸尘器家用除螨无线,4838732,吸力很大 吸尘很干净 吸尘器不错 小巧轻便 吸力持久 打扫干净 配件齐全 外观漂亮 吸头很多 刷头多样 质量不错 刷头多样 使用方便 吸尘器不错 刷头多样 小巧轻便 吸力很大,,,500,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他,戴森官方旗舰店,500,5
999.00,小狗（puppy）,100,98,999.00,小狗（puppy）家用无线无绳手持立式充电小型吸尘器D-531,10126937869,使用方便 吸尘器不错 质量不错 吸尘很干净 打扫干净 小巧轻便 外观漂亮 吸力很大 噪音小 易收纳 外观漂亮 不易缠发 打扫干净 节能电机 吸尘器不错,,,16000,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头,小狗电器官方旗舰店,17000,100
Y_type,CommentCount,X_type,PreferentialPrice,GeneralCount,price,shop_name,ProductID,PoorCount,F_type,GoodCount,p_Name,brand,keyword,GoodRateShow,type
none,48000,地面吸头，缝隙吸头，小吸头,999.00,600,1000.00,飞利浦品牌旗舰店,729221,400,none,47000,飞利浦(PHILIPS)吸尘器FC8760/81家用无尘袋大功率(酒红色),飞利浦（PHILIPS）,吸力很大 电源线够长 功率大 吸尘器不错 吸尘很干净 质量不错 打扫干净 使用方便 噪音小 吸力持久 小巧轻便 外观漂亮 吸力很大 质量不错 配件齐全 吸尘器不错 功率大,98,"飞利浦FC8760/81,729221,9.87kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，旋风过滤,卧式吸尘器,电源式（5米-10米）,1800w及以上,地面吸头，缝隙吸头，小吸头"
none,900,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头,3690.00,10,3691.00,戴森官方旗舰店,4838712,7,none,900,戴森(Dyson) 吸尘器 V7 FLUFFY手持吸尘器家用除螨无线,DYSON,外观漂亮 使用方便 吸尘很干净 吸力很大 打扫干净 吸尘器不错 小巧轻便 质量不错 刷头多样 配件齐全,98,"DYSONDYSON V7 FLUFFY,4838712,4.65kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头"
none,47000,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头,799.00,500,799.00,小狗电器官方旗舰店,1351586523,200,none,46000,小狗（puppy） 小型静音除螨大功率家用吸尘器D-9005  ,小狗（puppy）,吸尘器不错 吸力很大 质量不错 吸尘很干净 电源线够长 使用方便 打扫干净 功率大 噪音小 吸头很多 吸力持久 小巧轻便 吸尘很干净 易收纳 打扫干净 尘杯容量大 吸力很大 刷头多样 质量不错,98,"小狗（puppy） 小型静音除螨大功率家用吸尘器D-9005  ,1351586523, ,8.9kg,中国大陆,D-9005,地板，地毯，瓷砖，厨房，沙发，床铺，酒店,水洗尘杯，水洗滤网，旋风过滤，除螨,卧式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头"
none,500,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头,2590.00,10,2699.00,戴森官方旗舰店,4070741,2,none,500,戴森(Dyson) 吸尘器 V6 EXTRA手持吸尘器家用除螨无线,DYSON,外观漂亮 小巧轻便 使用方便 吸尘很干净 吸力很大 吸尘器不错 打扫干净 吸头很多 刷头多样 功率大 质量不错 吸尘器不错 小巧轻便 吸头很多 易收纳 小巧轻便 打扫干净 噪音小 使用方便,98,"DYSONDYSON V6 EXTRA,4070741,4.21kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头"
none,11000,地面吸头，缝隙吸头,1199.00,100,1200.00,飞利浦品牌旗舰店,1077571,80,none,10000,飞利浦（PHILIPS）吸尘器FC6162/81无绳充电式手持立式二合一,飞利浦（PHILIPS）,使用方便 质量不错 吸尘器不错 吸尘很干净 打扫干净 小巧轻便 外观漂亮 噪音小 吸力很大 配件齐全 易收纳 外观漂亮 打扫干净 质量不错 噪音小 配件齐全,98,"飞利浦FC6162/81,1077571,4.33kg,广东珠海,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，水洗滤网，旋风过滤,立式/手持吸尘器,充电式（无线）,地面吸头，缝隙吸头"
GoodCount,F_type,GoodRateShow,price,keyword,type,PoorCount,X_type,CommentCount,GeneralCount,brand,shop_name,ProductID,p_Name,PreferentialPrice,Y_type
47000,none,98,1000.00,吸力很大 电源线够长 功率大 吸尘器不错 吸尘很干净 质量不错 打扫干净 使用方便 噪音小 吸力持久 小巧轻便 外观漂亮 吸力很大 质量不错 配件齐全 吸尘器不错 功率大,"飞利浦FC8760/81,729221,9.87kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，旋风过滤,卧式吸尘器,电源式（5米-10米）,1800w及以上,地面吸头，缝隙吸头，小吸头",400,地面吸头，缝隙吸头，小吸头,48000,600,飞利浦（PHILIPS）,飞利浦品牌旗舰店,729221,飞利浦(PHILIPS)吸尘器FC8760/81家用无尘袋大功率(酒红色),999.00,none
900,none,98,3691.00,外观漂亮 使用方便 吸尘很干净 吸力很大 打扫干净 吸尘器不错 小巧轻便 质量不错 刷头多样 配件齐全,"DYSONDYSON V7 FLUFFY,4838712,4.65kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头",7,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头,900,10,DYSON,戴森官方旗舰店,4838712,戴森(Dyson) 吸尘器 V7 FLUFFY手持吸尘器家用除螨无线,3690.00,none
5900,none,98,3599.00,榨汁速度快 声音小 榨汁很好 好清洗 东西不错 速度快 料理机很好 还可以吧 果汁细腻 出汁率很高,"惠人HU26RG3L,2770990,9.11kg,韩国,榨汁，豆腐，冰淇淋奶昔，豆浆，其他,0-50转/分,按键式,原汁机",70,none,6000,50,惠人（HUROM）,HUROM/惠人官方旗舰店,2770990,惠人（HUROM）HU26RG3L 原汁机低速榨汁机家用多功能新三代,2598.00,none
94000,单冷,90,599.00,还可以吧 送货快 比风扇好 风扇不错 风挺大的 送冰晶 外型好看 冷风效果好 加冰很凉快 尺寸合适 加了冰晶 外型好看 风扇不错 送货快 尺寸合适 冷风效果好 水箱很大,"先锋DG091,372811,7.73kg,宁波慈溪,DG091(FK-L19A/R),5-7L,2-8小时,三档调节,正常风、自然风、睡眠风,单冷,遥控式,竖出风",2800,none,100000,7200,先锋（SINGFUN）,先锋两季品旗舰店,372811,先锋（Singfun）大风量遥控空调扇/冷风扇/电风扇DG091,329.00,单冷
250000,落地扇,95,329.00,遥控方便 安装方便 风扇不错 风力很大 质量不错 使用方便 噪音很小 底座很稳 风很柔和 睡眠风不错 质量不错 远程遥控 安全节能 风力很大 噪音很小,"美的FS40-13ER,1069555,8.5kg,中国大陆,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",4200,none,260000,6700,美的（Midea）,美的两季品旗舰店,1069555,美的（Midea）FS40-13ER 五叶遥控落地扇/电风扇,199.00,落地扇
46000,none,98,799.00,吸尘器不错 吸力很大 质量不错 吸尘很干净 电源线够长 使用方便 打扫干净 功率大 噪音小 吸头很多 吸力持久 小巧轻便 吸尘很干净 易收纳 打扫干净 尘杯容量大 吸力很大 刷头多样 质量不错,"小狗（puppy） 小型静音除螨大功率家用吸尘器D-9005  ,1351586523, ,8.9kg,中国大陆,D-9005,地板，地毯，瓷砖，厨房，沙发，床铺，酒店,水洗尘杯，水洗滤网，旋风过滤，除螨,卧式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头",200,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头,47000,500,小狗（puppy）,小狗电器官方旗舰店,1351586523,小狗（puppy） 小型静音除螨大功率家用吸尘器D-9005  ,799.00,none
16000,none,98,6880.00,榨汁很好 出汁率很高 果汁细腻 使用方便 好清洗 声音小 榨汁速度快 东西不错 速度快 料理机很好,"惠人HUZK24FR,1676728,8.28kg,韩国,榨汁，豆腐，冰淇淋奶昔，豆浆,0-50转/分,按键式,原汁机",100,none,16000,100,惠人（HUROM）,HUROM/惠人官方旗舰店,1676728,惠人（HUROM）HUZK24FR升级版原汁机低速榨汁机HUZK24WNM,1998.00,none
46000,单冷,89,599.00,还可以吧 送货快 比风扇好 风挺大的 风扇不错 外型好看 尺寸合适 送冰晶 加冰很凉快 冷风效果好,"奥克斯FLS-120F-1,1071127,7.6kg,浙江宁波,5-7L,2-8小时,三档调节,正常风、自然风、睡眠风,单冷,遥控式,竖出风",2300,none,52000,3700,奥克斯（AUX）,奥克斯两季品旗舰店,1071127,奥克斯（AUX）遥控冷风扇/空调扇/电风扇FLS-120F-1 ,299.00,单冷
35000,落地扇,97,299.00,风扇不错 安装方便 质量不错 遥控方便 噪音很小 底座很稳 造型美观 使用方便 风力很大 远程遥控 风很柔和 风力很大 噪音很小 广角送风 安装方便,"格力FD-40X64Bh5,3899679,7.3kg,中国大陆,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",400,none,37000,600,格力（GREE）,格力生活电器旗舰店,3899679,格力（GREE）FD-40X64Bh5  五叶遥控落地扇/电风扇,188.00,落地扇
500,none,98,2699.00,外观漂亮 小巧轻便 使用方便 吸尘很干净 吸力很大 吸尘器不错 打扫干净 吸头很多 刷头多样 功率大 质量不错 吸尘器不错 小巧轻便 吸头很多 易收纳 小巧轻便 打扫干净 噪音小 使用方便,"DYSONDYSON V6 EXTRA,4070741,4.21kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",2,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头,500,10,DYSON,戴森官方旗舰店,4070741,戴森(Dyson) 吸尘器 V6 EXTRA手持吸尘器家用除螨无线,2590.00,none
21000,none,100,2399.00,使用方便 东西不错 料理机很好 果汁细腻 好清洗 速度快 榨汁很好 榨汁速度快 出汁率很高 声音小 好清洗 榨汁速度快 果汁细腻 使用方便 榨汁很好 果汁细腻,"奥克斯(AUX)936 破壁料理机加热家用果汁机榨汁机辅食机原汁机豆浆机搅拌机 破壁机变频,1766038083, ,9.0kg,中国大陆,AP001,25000转/分及以上,3-5人,料理/辅食机,八档以上,塑料,搅拌，榨汁，碎肉，研磨，和面，打蛋，碎冰，五谷类粉,触摸式",10,none,21000,40,奥克斯（AUX）,奥克斯厨房小电旗舰店,1766038083,奥克斯(AUX)936 破壁料理机加热家用果汁机榨汁机辅食机原汁机豆浆机搅拌机 破壁机变频,1780.00,none
7800,单冷,90,439.00,送货快 外型好看 风扇不错 比风扇好 声音小 尺寸合适 冷风效果好 加湿空气 风挺大的 送冰晶,"格力KS-0602ehG-wg,848301,11.39kg,中山,5-7L,无定时,四档调节,正常风,单冷,机械式,竖出风",300,none,8700,500,格力（GREE）,格力生活电器旗舰店,848301,格力（GREE）KS-0602ehG-wg 冷风扇/空调扇,369.00,单冷
170000,落地扇，空气循环扇,96,239.00,风扇不错 安装方便 风力很大 质量不错 使用方便 底座很稳 造型美观 风很柔和 安全节能 颜色漂亮 遥控方便 使用方便 安装方便 底座很稳,"奥克斯FS-40-A1613,1058010,6.6kg,中国大陆,三档调节,正常风,5片,1级,机械式,落地扇，空气循环扇",2500,none,180000,5600,奥克斯（AUX）,奥克斯电风扇旗舰店,1058010,奥克斯（AUX）FS-40-A1613 电风扇/酷黑五扇叶落地扇,109.00,落地扇，空气循环扇
10000,none,98,1200.00,使用方便 质量不错 吸尘器不错 吸尘很干净 打扫干净 小巧轻便 外观漂亮 噪音小 吸力很大 配件齐全 易收纳 外观漂亮 打扫干净 质量不错 噪音小 配件齐全,"飞利浦FC6162/81,1077571,4.33kg,广东珠海,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，水洗滤网，旋风过滤,立式/手持吸尘器,充电式（无线）,地面吸头，缝隙吸头",80,地面吸头，缝隙吸头,11000,100,飞利浦（PHILIPS）,飞利浦品牌旗舰店,1077571,飞利浦（PHILIPS）吸尘器FC6162/81无绳充电式手持立式二合一,1199.00,none
86000,none,94,299.00,榨汁速度快 榨汁很好 使用方便 速度快 出汁率很高 东西不错 声音小 好清洗 一般 还可以吧,"九阳JYZ-D51,1000543,2.5kg,中国大陆,榨汁,15001转/分(含)-18000转/分(含),旋钮式,电动榨汁机",1700,none,92000,3600,九阳（Joyoung）,九阳厨房电器旗舰店,1000543,九阳（Joyoung）榨汁机（汁渣分离）家用果汁机JYZ-D51,149.00,none
11000,单冷,91,699.00,送货快 风挺大的 外型好看 风扇不错 比风扇好 比风扇风大 冷风效果好 尺寸合适 比空调省电 智能操作,"艾美特CFTW10-14,829747,10.04kg,中国,3-5L,8小时以上,四档调节,正常风、自然风、睡眠风,单冷,遥控式,竖出风",300,none,12000,700,艾美特（AIRMATE）,艾美特生活电器旗舰店,829747,艾美特(Airmate) CFTW10-14 塔式遥控冷风扇/塔扇/空调扇/电风扇,529.00,单冷
18000,塔扇,94,799.00,造型美观 安装方便 遥控方便 风很柔和 使用方便 风扇不错 质量不错 噪音很小 颜色漂亮 远程遥控,"艾美特FT41R,4533788,5.26kg,中国,2-8小时,三档调节,正常风,无叶,无,遥控式,塔扇",300,none,19000,600,艾美特（AIRMATE）,艾美特生活电器旗舰店,4533788,艾美特(Airmate) FT41R 遥控塔扇/电风扇,309.00,塔扇
500,none,99,2991.00,吸力很大 吸尘很干净 吸尘器不错 小巧轻便 吸力持久 打扫干净 配件齐全 外观漂亮 吸头很多 刷头多样 质量不错 刷头多样 使用方便 吸尘器不错 刷头多样 小巧轻便 吸力很大,"DYSONDYSON V6 ANIMAL+,4838732,4.43kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他",1,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他,500,5,DYSON,戴森官方旗舰店,4838732,戴森(Dyson) 吸尘器 V6 ANIMAL+手持吸尘器家用除螨无线,2990.00,none
18000,none,97,1799.00,榨汁很好 榨汁速度快 出汁率很高 东西不错 使用方便 速度快 好清洗 果汁细腻 声音小 料理机很好,"飞利浦HR1871/00,491148,6.46kg,中国大陆,5人以上,二档(含)-五档(含),不锈钢,榨汁,旋钮式",100,none,18000,300,飞利浦（PHILIPS）,飞利浦厨房电器旗舰店,491148,飞利浦（PHILIPS）榨汁机 HR1871/00 果汁机家用 不锈钢外壳 大口径 防滴漏,659.00,none
46000,冷暖,89,799.00,送货快 东西不错 送冰晶 比风扇好 风挺大的 风扇不错 尺寸合适 冷风效果好 外型好看 加了冰晶 比风扇好,"奥克斯NFS-20F-1,1071138,8.16kg,浙江宁波,5-7L,2-8小时,三档调节,正常风、自然风、睡眠风,冷暖,遥控式,竖出风",2300,none,52000,3700,奥克斯（AUX）,奥克斯两季品旗舰店,1071138,奥克斯（AUX）遥控冷暖冷风扇/空调扇/电风扇/取暖器NFS-20F-1 ,349.00,冷暖
72000,落地扇,97,319.00,风扇不错 质量不错 安装方便 风力很大 噪音很小 使用方便 底座很稳 风很柔和 电机好 声音小,"美的FS40-13C,1077868,8.56kg,中国大陆,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",900,none,75000,1600,美的（Midea）,美的两季品旗舰店,1077868,美的（Midea）FS40-13C 五叶落地扇/电风扇,189.00,落地扇
16000,none,98,999.00,使用方便 吸尘器不错 质量不错 吸尘很干净 打扫干净 小巧轻便 外观漂亮 吸力很大 噪音小 易收纳 外观漂亮 不易缠发 打扫干净 节能电机 吸尘器不错,"小狗（puppy）家用无线无绳手持立式充电小型吸尘器D-531,10126937869, ,3.0kg,中国大陆,D-531,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店,水洗尘杯，水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",100,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头,17000,100,小狗（puppy）,小狗电器官方旗舰店,10126937869,小狗（puppy）家用无线无绳手持立式充电小型吸尘器D-531,999.00,none
41000,none,97,499.00,榨汁速度快 使用方便 榨汁很好 东西不错 好清洗 速度快 出汁率很高 果汁细腻 还可以吧 料理机很好,"飞利浦HR1832/02,1003105,2.75kg,中国广东深圳,电动榨汁机",400,none,43000,900,飞利浦（PHILIPS）,飞利浦厨房电器旗舰店,1003105,飞利浦（PHILIPS）榨汁机 HR1832/02 迷你果汁机家用  防滴漏,289.00,none
4200,单冷,89,1199.00,还可以吧 风挺大的 风扇不错 外型好看 噪音很小 送货快 比风扇好 声音小 冷风效果好 送冰晶 送货快 声音小,"艾美特CFTW08,152535,6.58kg,中国,3-5L,8小时以上,五档及以上,正常风,单冷,遥控式,竖出风",200,none,4700,300,艾美特（AIRMATE）,艾美特生活电器旗舰店,152535,艾美特(Airmate) CFTW08 塔式遥控冷风扇/塔扇/空调扇/电风扇,999.00,单冷
320000,落地扇,96,299.00,风扇不错 安装方便 遥控方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 远程遥控 底座很稳 颜色漂亮 安装方便 遥控方便 风很柔和 质量不错,"艾美特FSW52R,595936,6.82kg,中国,2-8小时,三档调节,正常风,3片,1级,遥控式,落地扇",4000,none,340000,8700,艾美特（AIRMATE）,艾美特生活电器旗舰店,595936,艾美特(Airmate) FSW52R 遥控落地扇/电风扇,209.00,落地扇
7900,none,99,999.00,吸力很大 电源线够长 使用方便 吸尘很干净 吸尘器不错 质量不错 打扫干净 功率大 噪音小 东西不错 使用方便 配件齐全 尘杯容量大 吸力很大 吸尘器不错 功率大 打扫干净 尘杯容量大 吸尘很干净 吸力很大 功率大 吸尘器不错 电源线够长,"莱克VC-B501,1419129,3.48kg,中国大陆,沙发，床铺,水洗尘杯，水洗滤网，旋风过滤，除螨,除螨仪",20,none,8000,50,莱克（LEXY）,莱克旗舰店,1419129,莱克（LEXY）除螨仪小型手持床铺除螨机家用吸尘器VC-B501,639.00,none
400,none,97,4580.00,,"惠人HU28WN3L,4406840,10.8kg,韩国,榨汁，豆腐，冰淇淋奶昔，豆浆,0-50转/分,按键式,原汁机",6,none,400,7,惠人（HUROM）,HUROM/惠人官方旗舰店,4406840,惠人（HUROM）HU28WN3L 韩国进口家用原汁机低速榨汁机新三代 红色,2680.00,none
