GoodCount,PoorCount,price,type,keyword,CommentCount,GoodRateShow,p_Name,shop_name,PreferentialPrice,GeneralCount,FBnumber,ProductID
250000,4100,329.00,落地扇,遥控方便 安装方便 风扇不错 风力很大 质量不错 使用方便 噪音很小 底座很稳 风很柔和 睡眠风不错 质量不错 远程遥控 安全节能 风力很大 噪音很小,260000,95,美的（Midea）FS40-13ER 五叶遥控落地扇/电风扇,美的两季品旗舰店,219.00,6600,5片,1069555
59000,700,449.00,塔扇,遥控方便 安装方便 风扇不错 使用方便 质量不错 风很柔和 噪音很小 风力很大 造型美观 底座很稳 造型美观 风扇不错,61000,97,美的（midea）FZ10-15BRW 遥控塔扇/电风扇,美的两季品旗舰店,329.00,1200,无叶,1361004
32000,300,299.00,落地扇,风扇不错 安装方便 遥控方便 质量不错 噪音很小 底座很稳 造型美观 使用方便 风力很大 远程遥控 风很柔和 风力很大 噪音很小 广角送风 安装方便 底座很稳 广角送风 扇网坚固 使用方便 风很柔和,33000,97,格力（GREE）FD-40X64Bh5  五叶遥控落地扇/电风扇,格力生活电器旗舰店,208.00,500,5片,3899679
160000,2500,239.00,落地扇，空气循环扇,风扇不错 安装方便 风力很大 质量不错 使用方便 底座很稳 造型美观 风很柔和 安全节能 颜色漂亮 遥控方便 使用方便 安装方便 底座很稳,170000,96,奥克斯（AUX）FS-40-A1613 电风扇/酷黑五扇叶落地扇,奥克斯电风扇旗舰店,109.00,5500,5片,1058010
16000,300,799.00,塔扇,造型美观 安装方便 遥控方便 风很柔和 使用方便 风扇不错 质量不错 噪音很小 颜色漂亮 远程遥控,17000,94,艾美特(Airmate) FT41R 遥控塔扇/电风扇,艾美特生活电器旗舰店,299.00,600,无叶,4533788
320000,4000,299.00,落地扇,风扇不错 安装方便 遥控方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 远程遥控 底座很稳 颜色漂亮 安装方便 遥控方便 风很柔和 质量不错,330000,96,艾美特(Airmate) FSW52R 遥控落地扇/电风扇,艾美特生活电器旗舰店,199.00,8700,3片,595936
70000,900,319.00,落地扇,风扇不错 质量不错 安装方便 风力很大 噪音很小 使用方便 底座很稳 风很柔和 电机好 声音小,72000,97,美的（Midea）FS40-13C 五叶落地扇/电风扇,美的两季品旗舰店,169.00,1500,5片,1077868
170000,2400,309.00,落地扇,风扇不错 质量不错 安装方便 风力很大 使用方便 噪音很小 底座很稳 风很柔和 造型美观 安全节能 风力很大 风很柔和 底座很稳 使用方便 安全节能,180000,96,艾美特(Airmate) FSW65T2-5 五叶落地扇/电风扇,艾美特生活电器旗舰店,189.00,5600,5片,829764
140000,1700,239.00,落地扇,风扇不错 安装方便 质量不错 风力很大 噪音很小 使用方便 底座很稳 风很柔和 声音小 电机好 风力很大 质量不错 安装方便 小清新 厚重耐磨 电机好 使用方便 风扇不错 底座很稳 安装方便 扇网坚固 底座很稳,150000,96,格力（GREE）FD-4013JD 机械式落地扇/电风扇,格力生活电器旗舰店,148.00,4400,3片,603496
1600,10,4691.00,落地扇，塔扇,造型美观 风扇不错 风很柔和 质量不错 遥控方便 安装方便 安全节能 噪音很小 睡眠风不错 风力很大,1600,97,戴森(Dyson) AM07白银 落地式无叶电风扇/塔扇,戴森官方旗舰店,3790.00,30,无叶,1182248
93000,1400,199.00,落地扇,风力很大 安装方便 风扇不错 质量不错 使用方便 底座很稳 造型美观 颜色漂亮 噪音很小 安全节能 噪音很小 安装方便 质量不错 风力很大 广角送风,97000,96,先锋（Singfun）大风量电风扇/落地扇 DD1701,先锋两季品旗舰店,99.00,2700,5片,3998821
89000,2200,268.00,落地扇,遥控方便 安装方便 风力很大 风扇不错 质量不错 使用方便 远程遥控 底座很稳 风很柔和 噪音很小,95000,94,康佳（KONKA）遥控电风扇/落地扇/五扇叶遥控落地扇KF-40LY01,康佳两季品旗舰店,139.00,4000,5片,1093073
15000,100,239.00,落地扇,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 风很柔和 造型美观 底座很稳 颜色漂亮 噪音很小 底座很稳 安装方便 颜色漂亮 风力很大 广角送风 风很柔和 电机好 底座很稳 噪音很小 底座很稳 扇网坚固 安装方便 使用方便 噪音很小,15000,97,格力（GREE）FD-4010-WG 五叶机械落地扇 电风扇,格力生活电器旗舰店,169.00,200,5片,4483862
11000,100,599.00,落地扇,安装方便 风扇不错 遥控方便 造型美观 噪音很小 风很柔和 使用方便 颜色漂亮 风力很大 远程遥控 底座很稳 睡眠风不错 噪音很小 风力很大 风扇不错 颜色漂亮 遥控方便 质量不错 风很柔和 造型美观 风很柔和 睡眠风不错 遥控方便 颜色漂亮 风扇不错,11000,96,艾美特(Airmate) FS40103R 五叶遥控落地扇/电风扇,艾美特生活电器旗舰店,219.00,200,5片,3918861
200,6,4691.00,落地扇，塔扇，空气循环扇,适合宝宝 颜色漂亮 安装方便 噪音很小 风很柔和 风力很大 遥控方便 风扇不错 造型美观 睡眠风不错 质量不错 造型美观 风很柔和 噪音很小 颜色漂亮 扇网坚固 噪音很小 适合宝宝 睡眠风不错 遥控方便 风力很大 造型美观 电机好 遥控方便,200,96,戴森(Dyson) TP00空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环室内空气 银白,戴森官方旗舰店,4690.00,3,无叶,4071591
170000,2400,199.00,落地扇,风扇不错 质量不错 安装方便 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观 颜色漂亮 使用方便 风力很大 噪音很小,180000,96,美的（Midea）FS40-11L1 落地扇/电风扇,美的两季品旗舰店,159.00,4900,3片,861100
39000,500,499.00,落地扇,遥控方便 风扇不错 安装方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观,40000,97,先锋（Singfun）6档遥控电风扇/落地扇DD3305 LED液晶显示,先锋两季品旗舰店,169.00,800,5片,1399677
41000,600,359.00,落地扇,噪音很小 风扇不错 安装方便 质量不错 遥控方便 风很柔和 使用方便 底座很稳 造型美观 风力很大 扇网坚固 风力很大 风很柔和 底座很稳 遥控方便 安全节能 风力很大 远程遥控 风很柔和 使用方便 安装方便 风力很大 风很柔和 安全节能,42000,97,美的（Midea）FS40-15HRW 五叶遥控落地扇/电风扇,美的两季品旗舰店,239.00,900,5片,2355523
24000,200,369.00,转页扇,安装方便 遥控方便 风扇不错 噪音很小 风很柔和 使用方便 质量不错 远程遥控 造型美观 睡眠风不错,25000,97,美的（Midea）KYS30-10CR 遥控升降转页扇/电风扇,美的两季品旗舰店,259.00,500,5片,365888
68000,1500,369.00,落地扇,遥控方便 安装方便 风扇不错 风力很大 使用方便 质量不错 底座很稳 噪音很小 风很柔和 远程遥控,72000,95,澳柯玛（AUCMA）FS-40ND06(Y) 五叶AS扇叶遥控电风扇/落地扇,澳柯玛两季品旗舰店,139.00,2500,5片,1370345
87000,900,219.00,转页扇,风扇不错 质量不错 风很柔和 噪音很小 使用方便 风力很大 声音小 底座很稳 睡眠风不错 电机好 少见的问题 风扇不错 广角送风 噪音很小 电机好,90000,97,美的（Midea）KYT30-15AW 台式转页扇/电风扇,美的两季品旗舰店,159.00,1800,5片,1361008
5500,100,399.00,落地扇,遥控方便 噪音很小 风扇不错 安装方便 质量不错 造型美观 风很柔和 使用方便 风力很大 远程遥控 广角送风 遥控方便 适合宝宝 颜色漂亮 质量不错 遥控方便 电机好 远程遥控 风力很大 风很柔和 扇网坚固 安装方便 遥控方便 风很柔和 造型美观 安装方便 扇网坚固 声音很大,5700,96,美的（Midea）FS40-17KRW 五叶变频遥控落地扇/电风扇,美的两季品旗舰店,329.00,90,5片,4425010
60000,700,289.00,落地扇,还可以吧 风扇不错 安装方便 质量不错 噪音很小 风力很大 使用方便 风很柔和 底座很稳 造型美观,63000,96,美的（Midea）FS40-8B1 五叶落地扇/电风扇,美的两季品旗舰店,189.00,2100,5片,597426
17000,200,699.00,落地扇,噪音很小 风很柔和 风扇不错 质量不错 遥控方便 安装方便 风力很大 造型美观 使用方便 底座很稳,18000,95,艾美特(Airmate) FS4086RI-W 七叶遥控落地扇/电风扇,艾美特生活电器旗舰店,319.00,400,7片及以上,1365527
18000,200,359.00,落地扇,安装方便 遥控方便 质量不错 风扇不错 风力很大 噪音很小 造型美观 使用方便 远程遥控 底座很稳 造型美观 风很柔和 睡眠风不错 适合宝宝 底座很稳,18000,97,格力（GREE）FD-4030B 遥控式落地扇/电风扇,格力生活电器旗舰店,198.00,300,3片,2599660
87000,1300,398.00,塔扇,还可以吧 使用方便 风扇不错 安装方便 质量不错 造型美观 风力很大 风很柔和 底座很稳 噪音很小,92000,95,艾美特(Airmate) FTW36T2-A 塔扇/电风扇,艾美特生活电器旗舰店,299.00,3300,无叶,216706
900,10,5691.00,落地扇，台扇，空气循环扇,风很柔和 噪音很小 远程遥控 造型美观 颜色漂亮 使用方便 广角送风 风扇不错 安装方便 安全节能 风很柔和 远程遥控 造型美观 遥控方便,900,98,戴森(Dyson) HP03空气净化风扇/电风扇/落地扇 净化PM0.1和甲醛+强劲气流循环 凉风制暖智能合一 银白,戴森官方旗舰店,5690.00,10,无叶,4840266
9800,100,359.00,落地扇,安装方便 风扇不错 遥控方便 风力很大 质量不错 使用方便 底座很稳 噪音很小 风很柔和 电机好 安装方便 睡眠风不错 颜色漂亮 广角送风 远程遥控 风扇不错 风力很大 造型美观 电机好,10000,97,美的（Midea）FS40-15QRW 五叶遥控落地扇/电风扇,美的两季品旗舰店,239.00,100,5片,1429749
80000,1000,199.00,转页扇，台扇,风扇不错 使用方便 质量不错 风很柔和 噪音很小 风力很大 底座很稳 造型美观 安全节能 安装方便,83000,96,澳柯玛（AUCMA）KYT-25ND01 台式转页扇/电风扇,澳柯玛两季品旗舰店,59.00,2300,5片,1370329
27000,200,299.00,转页扇，台扇,风扇不错 质量不错 噪音很小 风很柔和 使用方便 造型美观 颜色漂亮 安全节能 风力很大 底座很稳 颜色漂亮 风很柔和,28000,97,艾美特(Airmate) FBW32T2 台式转页扇/电风扇,艾美特生活电器旗舰店,129.00,600,5片,1507669
39000,800,199.00,落地扇,安装方便 风扇不错 风力很大 质量不错 使用方便 底座很稳 噪音很小 风很柔和 电机好 声音小,41000,95,澳柯玛（AUCMA） FS-40T6 五叶AS扇叶机械电风扇/落地扇,澳柯玛两季品旗舰店,99.00,1400,5片,1095534
1400,10,1999.00,落地扇，塔扇，台扇，空气循环扇,造型美观 质量不错 使用方便 噪音很小 风很柔和 安全节能 风扇不错 安装方便 底座很稳 遥控方便 质量不错 风很柔和 使用方便 安装方便,1400,97,【爆品秒杀】英国QG(QG)AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,QG生活电器旗舰店,980.00,30,无叶,10626848028
2200,30,999.00,塔扇,造型美观 风很柔和 风扇不错 底座很稳 质量不错 颜色漂亮 遥控方便 使用方便 安装方便 睡眠风不错 使用方便 安装方便 风扇不错 底座很稳 造型美观,2300,97,美的（Midea）FZ10-16BRW 新品内旋式遥控塔扇/电风扇,美的两季品旗舰店,599.00,30,无叶,2396504
2600,20,459.00,落地扇,噪音很小 风很柔和 质量不错 造型美观 安全节能 安装方便 遥控方便 风扇不错 电机好 风力很大 广角送风 噪音很小 安全节能 造型美观 电机好 噪音很小 造型美观 安全节能 扇网坚固 底座很稳 风力很大 安全节能 电机好 颜色漂亮 风很柔和,2600,97,格力（GREE）FDZ-40X65Bg7  七叶遥控落地扇/直流变频落地扇/电风扇,格力生活电器旗舰店,369.00,50,7片及以上,3962523
5500,100,599.00,塔扇,风扇不错 遥控方便 风很柔和 造型美观 使用方便 安装方便 噪音很小 质量不错 颜色漂亮 风力很大,5900,94,康佳（KONKA）KF-TAS16Y01D遥控塔扇/落地扇/电风扇（白色）,康佳两季品旗舰店,199.00,200,无叶,2900702
1900,9,2080.00,落地扇，塔扇，台扇，空气循环扇,造型美观 安全节能 风力很大 风很柔和 底座很稳 噪音很小 适合宝宝 电机好 颜色漂亮 远程遥控 安装方便 使用方便 扇网坚固 质量不错 造型美观 质量不错 颜色漂亮 风很柔和 适合宝宝 使用方便 遥控方便,2000,98,欧麦斯Air-H5 无叶风扇 电风扇 落地 家用电扇 台扇塔扇 月光白,欧麦斯旗舰店,599.00,30,无叶,10437854366
8900,200,299.00,落地扇,风力很大 风扇不错 安装方便 质量不错 底座很稳 使用方便 造型美观 扇网坚固 颜色漂亮 风很柔和 风很柔和 电机好 使用方便 质量不错 造型美观 质量不错 噪音很小 使用方便 风扇不错 底座很稳 扇网坚固 使用方便,9500,93,海尔（Haier）FSJ4098B 五叶机械式电风扇/落地扇,海尔两季品旗舰店,129.00,300,5片,4621642
2900,40,319.00,塔扇,造型美观 风扇不错 风很柔和 安装方便 使用方便 质量不错 噪音很小 底座很稳 风力很大 安全节能 电机好 安全节能 广角送风 颜色漂亮 适合宝宝 噪音很小 质量不错 造型美观 底座很稳 风很柔和 安装方便 噪音很小 颜色漂亮 风力很大 电机好 使用方便 风力很大 电机好 适合宝宝 扇网坚固,3000,97,美的（Midea）FZ10-17DW 新款精致居家塔扇/电风扇,美的两季品旗舰店,249.00,60,无叶,4424990
9600,200,199.00,落地扇,质量不错 安装方便 噪音很小 风扇不错 使用方便 风力很大 风很柔和 颜色漂亮 造型美观 安全节能 安全节能 风力很大,10000,94,长虹（CHANGHONG）CFS-LD407 电风扇/落地扇/风扇,长虹两季品旗舰店,89.90,300,4片,4593976
93000,1400,199.00,落地扇,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 底座很稳 风很柔和 电机好 声音小 电机好 广角送风,97000,96,先锋（Singfun）大风量电风扇/落地扇DD1112 ,先锋两季品旗舰店,109.00,2700,3片,1399668
22000,400,139.00,落地扇,风扇不错 安装方便 质量不错 风力很大 使用方便 底座很稳 噪音很小 风很柔和 安全节能 造型美观 风扇不错,23000,95,HYUNDAI 现代大风量电风扇/机械落地扇/风扇FS40-A002,韩国现代（HYUNDAI)两季品旗舰店,89.00,600,5片,2418704
61000,1000,129.00,转页扇，台扇,风扇不错 还可以吧 质量不错 风很柔和 噪音很小 风力很大 安全节能 造型美观 底座很稳 安装方便,65000,94,康佳（KONKA）电风扇/台扇/五风叶/五扇叶台式转页扇KF-25HY37,康佳两季品旗舰店,69.00,2300,5片,1093078
100,3,5191.00,落地扇，塔扇，空气循环扇,适合宝宝 质量不错 安装方便 风扇不错 安全节能 远程遥控 广角送风 造型美观 扇网坚固 噪音很小 广角送风 适合宝宝 风扇不错 远程遥控 安全节能,100,95,戴森(Dyson) TP03空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环空气 塔式智能 银白,戴森官方旗舰店,5190.00,2,无叶,4840262
6700,70,159.00,转页扇,风扇不错 噪音很小 质量不错 风很柔和 使用方便 造型美观 安全节能 风力很大 底座很稳 睡眠风不错 质量不错 安全节能 使用方便 风扇不错 底座很稳 风很柔和 安全节能 使用方便,6900,97,美的（Midea）KYT25-17D 家用台式转页扇/电风扇,美的两季品旗舰店,109.00,100,5片,3864159
11000,100,199.00,落地扇,风扇不错 安装方便 质量不错 风力很大 噪音很小 使用方便 造型美观 底座很稳 风很柔和 颜色漂亮 安装方便,11000,96,华生（Wahson）FS35-C401 电风扇/落地扇/风扇,华生旗舰店,89.90,200,5片,4575098
7200,100,499.00,塔扇,安装方便 遥控方便 使用方便 风很柔和 造型美观 质量不错 风扇不错 噪音很小 远程遥控 颜色漂亮,7600,95,澳柯玛（AUCMA）FS-08M603(Y) 90度旋转遥控定时塔扇/电风扇,澳柯玛两季品旗舰店,199.00,200,无叶,2552698
5900,80,399.00,落地扇,安装方便 遥控方便 质量不错 风扇不错 造型美观 风力很大 使用方便 颜色漂亮 远程遥控 噪音很小 风力很大 遥控方便 电机好 扇网坚固 质量不错 底座很稳 广角送风 质量不错 安装方便 使用方便 广角送风 安装方便 底座很稳 质量不错 风力很大 风扇不错 颜色漂亮 风很柔和 安全节能 风力很大 安装方便 底座很稳 风扇不错 风力很大 使用方便 安装方便 电机好,6100,97,先锋（Singfun）9叶遥控电风扇/落地扇DLD-D5 ,先锋两季品旗舰店,169.00,100,7片及以上,3912031
16000,500,799.00,塔扇,安装方便 风很柔和 遥控方便 造型美观 使用方便 风扇不错 质量不错 噪音很小 睡眠风不错 远程遥控 造型美观 风很柔和 远程遥控,18000,91,艾美特(Airmate) FT47HR-W 遥控塔扇/电风扇,艾美特生活电器旗舰店,399.00,1200,无叶,2392868
7500,100,298.00,落地扇,质量不错 遥控方便 噪音很小 安装方便 风扇不错 造型美观 底座很稳 远程遥控 风很柔和 使用方便 电机好 扇网坚固 遥控方便 风扇不错,7900,96,格力（GREE)FD-4009B 家用床头定时摇头遥控落地扇 节能立式办公宿舍静音电风扇,格力明达丰专卖店,188.00,100,3片,10143138838
1200,10,799.00,台扇,造型美观 风很柔和 噪音很小 安装方便 颜色漂亮 风扇不错 遥控方便 质量不错 底座很稳 使用方便 质量不错 远程遥控 噪音很小 安装方便 质量不错 安装方便 造型美观 睡眠风不错,1300,97,艾美特(Airmate) SW164R-1 七叶遥控台立扇/电风扇,艾美特生活电器旗舰店,399.00,20,7片及以上,4533802
7600,100,299.00,壁扇,遥控方便 质量不错 安装方便 风扇不错 风力很大 使用方便 噪音很小 风很柔和 电机好 底座很稳 噪音很小 广角送风 使用方便 风扇不错 使用方便 噪音很小,8000,96,艾美特(Airmate) FW4035R 五叶遥控壁扇/电风扇,艾美特生活电器旗舰店,219.00,200,5片,375147
5100,50,269.00,落地扇,质量不错 风扇不错 风力很大 噪音很小 安装方便 使用方便 造型美观 遥控方便 安全节能 底座很稳 造型美观 颜色漂亮 风扇不错 风很柔和 质量不错 噪音很小 安装方便 风扇不错 风很柔和 使用方便,5200,98,美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,美的绿灯侠专卖店,249.00,50,5片,10913792973
7000,100,129.00,落地扇,安装方便 风扇不错 质量不错 使用方便 风力很大 风很柔和 噪音很小 底座很稳 颜色漂亮 造型美观 噪音很小 风很柔和 遥控方便 风很柔和 底座很稳 安全节能,7300,96,长城（CHANGCHENG）FS-35（710）电风扇/落地扇/炫酷五叶风扇/摇头电扇,长城官方旗舰店,89.90,100,5片,4579848
12000,100,139.00,转页扇，台扇,风扇不错 使用方便 质量不错 噪音很小 风很柔和 造型美观 风力很大 安全节能 颜色漂亮 底座很稳,12000,96,格力（GREE） KYT-2501a 转页扇/电风扇,格力生活电器旗舰店,79.00,300,5片,848318
3500,30,289.00,落地扇,噪音很小 安全节能 风力很大 底座很稳 扇网坚固 远程遥控 颜色漂亮 造型美观 风很柔和 电机好 遥控方便 质量不错 噪音很小 风扇不错,3600,98,美的（Midea）FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色,美的环境电器旗舰店,229.00,30,5片,11533566845
3400,30,399.00,塔扇,噪音很小 风很柔和 造型美观 安全节能 风力很大 底座很稳 颜色漂亮 扇网坚固 电机好 适合宝宝,3400,98,美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,美的环境电器旗舰店,329.00,30,无叶,10988055671
4600,80,769.00,塔扇,造型美观 还可以吧 风很柔和 使用方便 质量不错 遥控方便 风扇不错 噪音很小 睡眠风不错 远程遥控,4900,94,艾美特(Airmate) FTW50BR 直流变频遥控塔扇/电风扇,艾美特生活电器旗舰店,698.00,100,无叶,1083232
15000,200,339.00,转页扇,遥控方便 安装方便 质量不错 使用方便 风扇不错 噪音很小 风力很大 风很柔和 底座很稳 睡眠风不错 安装方便 遥控方便 噪音很小,16000,95,艾美特(Airmate) FBW09RS 升降遥控转页扇/电风扇,艾美特生活电器旗舰店,269.00,500,5片,216696
1900,10,499.00,落地扇,噪音很小 造型美观 遥控方便 安装方便 风很柔和 质量不错 风扇不错 底座很稳 安全节能 颜色漂亮 遥控方便 安全节能 底座很稳 安装方便 风很柔和 造型美观 安装方便 风很柔和 遥控方便 噪音很小 质量不错 遥控方便 睡眠风不错 噪音很小 安全节能 电机好 风很柔和 广角送风 遥控方便 造型美观,1900,98,美的（Midea）FS40-15CR 五叶变频遥控落地扇/电风扇,美的两季品旗舰店,399.00,20,5片,3864157
19000,300,79.00,台扇，壁扇，风扇伴侣,风扇不错 风力很大 使用方便 安装方便 质量不错 噪音很小 造型美观 颜色漂亮 底座很稳 扇网坚固 风扇不错 噪音很小,19000,95,澳柯玛（AUCMA）FT-18G613 办公 学习迷你夹扇 台扇/电风扇,澳柯玛两季品旗舰店,49.00,500,3片,2538905
1800,30,399.00,落地扇,风力很大 风扇不错 质量不错 使用方便 造型美观 噪音很小 安装方便 扇网坚固 底座很稳 风很柔和,1900,96,【京仓直送】格力（GREE）电风扇机械落地扇立式家用落地扇静音学生风扇摇头电扇三叶扇3档 FD-4012-WG,格力欧楠专卖店,149.00,30,3片,11430294931
600,10,699.00,塔扇,造型美观 风力很大 质量不错 远程遥控 风扇不错 遥控方便 风很柔和 广角送风 颜色漂亮 噪音很小,700,96,美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时 FZ10-16BRW ,美的小家电官方旗舰店,669.00,10,无叶,10329448645
2100,30,299.00,落地扇,质量不错 安装方便 风扇不错 风力很大 底座很稳 使用方便 噪音很小 颜色漂亮 造型美观 风很柔和 安装方便 质量不错 使用方便 风力很大 底座很稳,2100,96,格力(GREE) FD-4012-WG学生家用静音节能落地扇 家用立式大风量客厅宿舍电风扇,格力明达丰专卖店,149.00,40,3片,11340882780
2500,30,199.00,落地扇,风力很大 安装方便 质量不错 噪音很小 底座很稳 使用方便 造型美观 风扇不错 广角送风 风很柔和 风力很大 价格实惠 客服服务好,2500,96,美菱（MeiLing）FS-40A（29） 五叶机械式电风扇/落地扇,美菱自营两季旗舰店,109.00,50,5片,4850028
9200,200,269.00,落地扇,质量不错 风扇不错 遥控方便 安装方便 噪音很小 风力很大 造型美观 风很柔和 使用方便 远程遥控,9700,95,美的（Midea）电风扇 落地 静音定时电扇 落地扇 FS40-13GR  ,美的小家电官方旗舰店,249.00,200,5片,1597427476
