p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,X_type,X_name
美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,美的绿灯侠专卖店,10913792973,,,11000,98,10000,100,100,美的（Midea）,质量不错 风扇不错 安装方便 风力很大 噪音很小 使用方便 造型美观 遥控方便 底座很稳 安全节能,"美的（Midea） FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,10913792973, ,5.5kg,FS40-13GR,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",落地扇,美的（Midea） FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇
美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时,美的小家电旗舰店,10329448645,,,1400,96,1400,30,20,美的（Midea）,造型美观 风力很大 噪音很小 质量不错 风扇不错 使用方便 遥控方便 广角送风 颜色漂亮 远程遥控,"美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时,10329448645, ,7.8kg,中国大陆,21056110000151（FZ10-16BRW）,8小时以上,五档以上,正常风,无叶,3级,遥控式,塔扇",塔扇,美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时
钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色,钻石牌非凡专卖店,11846057188,,,1400,97,1400,20,20,钻石牌（DIAMOND）,安装方便 质量不错 使用方便 风力很大 噪音很小 风很柔和 风扇不错 底座很稳 扇网坚固 睡眠风不错,"钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色,11846057188, ,7.0kg,中国大陆,FS-40II F,2小时以下,四档调节,正常风、自然风、睡眠风,5片,2级,机械式,落地扇",落地扇,钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色
戴森(Dyson) TP03空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环空气 塔式智能 银白,戴森官方旗舰店,4840262,,,200,98,200,4,2,DYSON,造型美观 安全节能 颜色漂亮 使用方便 风扇不错 安装方便 扇网坚固 广角送风 质量不错 遥控方便 广角送风 适合宝宝 风扇不错 远程遥控 安全节能,"DYSONTP03白银,4840262,5.82kg,马来西亚,308045-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,APP控制,落地扇，塔扇，空气循环扇",落地扇，塔扇，空气循环扇,DYSONTP03白银
凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时,凯迪电器旗舰店,11916701938,,,4200,94,3900,100,100,凯迪电器,质量不错 风扇不错 噪音很小 风力很大 使用方便 底座很稳 造型美观 安装方便 风很柔和 安全节能 风很柔和,"凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时,11916701938, ,5.0kg,中国大陆,A14-R,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",落地扇,凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时
英国QG(QG)AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,QG生活电器旗舰店,10626848028,,,2000,96,1900,50,20,QG,造型美观 风很柔和 使用方便 质量不错 噪音很小 安全节能 安装方便 风扇不错 遥控方便 底座很稳 质量不错 风很柔和 使用方便 安装方便,"QG 英国AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,10626848028, ,3.8kg,中国大陆,2-8小时,五档以上,正常风、自然风,无叶,1级,遥控式,落地扇，塔扇，台扇，空气循环扇",落地扇，塔扇，台扇，空气循环扇,QG 英国AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖
格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色,格力智购专卖店,12401990604,,,1900,97,1900,30,20,格力（GREE）,噪音很小 风很柔和 使用方便 质量不错 风扇不错 睡眠风不错 造型美观 电机好 颜色漂亮 风力很大,"格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色,12401990604, ,2.6kg,中国大陆,KYT-2501,2小时以下,四档调节,正常风、自然风、睡眠风,5片,1级,机械式,转页扇",转页扇,格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色
艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA,艾美特旗舰店,10502318585,,,1000,92,900,40,40,艾美特（AIRMATE）,风扇不错 遥控方便 安装方便 风力很大 质量不错 噪音很小 使用方便 造型美观 风很柔和 底座很稳,"艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA,10502318585, ,8.7kg,FS4092R-WA,2-8小时,四档调节,正常风,5片,1级,遥控式,落地扇",落地扇,艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA
美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,美的环境电器旗舰店,10988055671,,,4900,98,4800,60,70,美的（Midea）,噪音很小 风很柔和 造型美观 安全节能 风力很大 底座很稳 颜色漂亮 远程遥控 扇网坚固 电机好,"美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,10988055671, ,4.1kg,中国大陆,FZ10-15BRW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",塔扇,美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇
美的（Midea） FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇,美的绿灯侠专卖店,11166367999,,,1600,96,1600,30,30,美的（Midea）,质量不错 造型美观 使用方便 遥控方便 风扇不错 安全节能 风很柔和 噪音很小 风力很大 安装方便,"美的（Midea） FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇,11166367999, ,5.7kg,中国大陆,FZ10-15BRW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",塔扇,美的（Midea） FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇
戴森(Dyson) TP00空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环室内空气 银白,戴森官方旗舰店,4071591,,,500,96,500,8,10,DYSON,颜色漂亮 风很柔和 适合宝宝 遥控方便 造型美观 安装方便 噪音很小 质量不错 远程遥控 风力很大 质量不错 造型美观 风很柔和 噪音很小 颜色漂亮 风力很大 造型美观 电机好 遥控方便,"DYSONTP00白银,4071591,5.42kg,马来西亚,308774-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,遥控式,落地扇，塔扇，空气循环扇",落地扇，塔扇，空气循环扇,DYSONTP00白银
艾美特（AIRMATE）【到手价419】FT70R电风扇塔扇家用塔式无叶落地扇 静音拆洗,艾美特旗舰店,11956390126,,,600,94,600,20,20,艾美特（AIRMATE）,风很柔和 安装方便 噪音很小 遥控方便 风扇不错 使用方便 造型美观 睡眠风不错 颜色漂亮 广角送风 风扇不错 睡眠风不错 噪音很小 遥控方便,"艾美特（AIRMATE）【到手价419】FT70R电风扇塔扇家用塔式无叶落地扇 静音拆洗,11956390126, ,3.7kg,FT70R,8小时以上,五档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",塔扇,艾美特（AIRMATE）【到手价419】FT70R电风扇塔扇家用塔式无叶落地扇 静音拆洗
美的 （Midea）FS40-13GR 电风扇/落地扇/智能家用电风扇/遥控风扇,美的护理旗舰店,11167508237,,,300,95,200,5,8,美的,风力很大 遥控方便 造型美观 风很柔和 安全节能 安装方便 睡眠风不错 颜色漂亮 风扇不错 底座很稳 风力很大 广角送风 风扇不错 造型美观,"美的 （Midea）FS40-13GR 电风扇/落地扇/智能家用电风扇/遥控风扇,11167508237, ,5.5kg,中国大陆,DS070101MD006-JD,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",落地扇,美的 （Midea）FS40-13GR 电风扇/落地扇/智能家用电风扇/遥控风扇
美的（Midea）FZ10-17DW 塔扇无叶风扇/家用电风扇/静音立式风扇 白色,美的环境电器旗舰店,11524626939,,,400,94,400,10,10,美的（Midea）,安装方便 造型美观 颜色漂亮 广角送风 风力很大 质量不错 风扇不错 使用方便 睡眠风不错 安全节能 质量不错 造型美观 广角送风 安装方便 使用方便 风力很大 安装方便 风扇不错,"美的（Midea）FZ10-17DW 塔扇无叶风扇/家用电风扇/静音立式风扇 白色,11524626939, ,4.6kg,中国大陆,FZ10-17DW,2小时以下,三档调节,正常风、自然风、睡眠风,无叶,无,机械式,塔扇",塔扇,美的（Midea）FZ10-17DW 塔扇无叶风扇/家用电风扇/静音立式风扇 白色
日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色,日彩旗舰店,12880202279,,,6100,96,5900,100,100,日彩（ricai）,质量不错 风力很大 风扇不错 安装方便 使用方便 底座很稳 造型美观 风很柔和 噪音很小 安全节能 使用方便 风力很大 电机好 安全节能 睡眠风不错,"日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色,12880202279, ,8.9kg,中国大陆,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",落地扇,日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色
钻石牌(DIAMOND)电风扇/吊扇 1.4米56寸楼顶扇3片叶,钻石牌非凡专卖店,11382853922,,,1300,95,1300,30,30,钻石牌（DIAMOND）,质量不错 安装方便 风扇不错 风力很大 噪音很小 使用方便 造型美观 电机好 安全节能 颜色漂亮,"钻石牌(DIAMOND)电风扇/吊扇 1.4米56寸楼顶扇3片叶,11382853922, ,6.0kg,中国大陆,3叶1400MM,无定时,三档调节,正常风、自然风、睡眠风,3片,3级,机械式,吊扇",吊扇,钻石牌(DIAMOND)电风扇/吊扇 1.4米56寸楼顶扇3片叶
格力(GREE) 电风扇落地扇家用静音定时5叶大风量FD-4009-WG 白色 5叶机械,格力智购专卖店,12401517047,,,200,94,200,7,7,格力（GREE）,安装方便 噪音很小 使用方便 底座很稳 风扇不错 风力很大 风很柔和 睡眠风不错 造型美观,"格力(GREE) 电风扇落地扇家用静音定时5叶大风量FD-4009-WG 白色 5叶机械,12401517047, ,9.0kg,中国大陆,FD-4009-WG,2小时以下,三档调节,正常风、自然风、睡眠风,5片,1级,机械式,落地扇",落地扇,格力(GREE) 电风扇落地扇家用静音定时5叶大风量FD-4009-WG 白色 5叶机械
美的（Midea）KYS30-5A 升降转页扇 台式落地扇 定时静音 鸿运电风扇,美的护理旗舰店,12477775164,,,500,98,500,10,2,美的,质量不错 底座很稳 安装方便 噪音很小 风扇不错 风很柔和 使用方便 造型美观 电机好 扇网坚固,"美的 （Midea）KYS30-5A 升降转页扇 台式落地扇 定时静音 鸿运电风扇,12477775164, ,3.9kg,中国大陆,DS070103MD002,2小时以下,四档调节,正常风,5片,1级,机械式,转页扇",转页扇,美的 （Midea）KYS30-5A 升降转页扇 台式落地扇 定时静音 鸿运电风扇
爱家乐（AKIRA）Q7电风扇台式无叶风扇静音儿童风扇空气循环扇 白色,爱家乐生活电器专卖店,11296090647,,,700,100,700,2,1,爱家乐（AKIRA）,质量不错 风扇不错 造型美观 风很柔和 安全节能 使用方便 适合宝宝 风力很大 底座很稳 噪音很小 风很柔和 噪音很小 遥控方便 安装方便 电机好 安全节能 睡眠风不错 广角送风 底座很稳 使用方便 风很柔和 风扇不错 质量不错 质量不错,"爱家乐（AKIRA）Q7电风扇台式无叶风扇静音儿童风扇空气循环扇 白色,11296090647, ,3.5kg,中国大陆,8888820077448,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,遥控式,台扇",台扇,爱家乐（AKIRA）Q7电风扇台式无叶风扇静音儿童风扇空气循环扇 白色
艾美特(Airmate)电风扇塔扇FT41R 无叶风扇大厦风扇 静音 遥控家用香熏盒,艾美特子云专卖店,1536383961,,,3600,94,3300,100,80,艾美特（AIRMATE）,风很柔和 使用方便 安装方便 造型美观 遥控方便 风扇不错 质量不错 颜色漂亮 噪音很小 远程遥控 质量不错 质量不错,"艾美特(Airmate)电风扇塔扇FT41R 无叶风扇大厦风扇 静音 遥控家用香熏盒,1536383961, ,5.1kg,FT41R,2-8小时,三档调节,正常风,无叶,无,遥控式,塔扇",塔扇,艾美特(Airmate)电风扇塔扇FT41R 无叶风扇大厦风扇 静音 遥控家用香熏盒
格力（GREE）FD-4025Bah5-WG电风扇大风量/家用五叶遥控定时,格力TOSOT旗舰店,10203314990,,,3200,95,3000,50,80,格力（GREE）,遥控方便 质量不错 风扇不错 安装方便 造型美观 使用方便 风力很大 噪音很小 风很柔和 颜色漂亮 质量不错 安装方便 颜色漂亮 噪音很小 遥控方便,"格力（GREE）FD-4025Bah5-WG电风扇大风量/家用五叶遥控定时,10203314990, ,6.3kg,FD-4025Bah5-WG,2-8小时,三档调节,正常风,5片,1级,遥控式,落地扇",落地扇,格力（GREE）FD-4025Bah5-WG电风扇大风量/家用五叶遥控定时
欧麦斯(OUMAISI)Air-H5 无叶风扇 电风扇 落地家用电扇台扇塔扇 月光白,欧麦斯旗舰店,10437854366,,,2900,97,2800,70,20,欧麦斯（OUMAISI）,造型美观 风很柔和 安全节能 风力很大 底座很稳 噪音很小 颜色漂亮 适合宝宝 电机好 远程遥控 安装方便 使用方便 扇网坚固 质量不错 造型美观 质量不错 颜色漂亮 风很柔和 适合宝宝 使用方便 遥控方便,"欧麦斯(OUMAISI)Air-H5 无叶风扇 电风扇 落地家用电扇台扇塔扇 月光白,10437854366, ,4.0kg,2小时以下,无极变速,正常风、自然风,无叶,1级,遥控式,落地扇，塔扇，台扇，空气循环扇",落地扇，塔扇，台扇，空气循环扇,欧麦斯(OUMAISI)Air-H5 无叶风扇 电风扇 落地家用电扇台扇塔扇 月光白
美的（Midea）FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色,美的环境电器旗舰店,11533566845,,,6800,98,6600,90,90,美的（Midea）,噪音很小 风力很大 底座很稳 安全节能 扇网坚固 造型美观 风很柔和 远程遥控 颜色漂亮 电机好,"美的（Midea） FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色,11533566845, ,8.3kg,中国大陆,FS40-13CR,2-8小时,三档调节,正常风、自然风、睡眠风,5片,无,遥控式,落地扇",落地扇,美的（Midea） FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色
艾美特 【今日特卖】FT70R 静音塔扇/电风扇/遥控睡眠风扇 白色,艾美特官方旗舰店,12415767096,,,400,97,300,7,4,艾美特,风很柔和 风扇不错 质量不错 造型美观 安装方便 遥控方便 噪音很小 远程遥控 广角送风 睡眠风不错 睡眠风不错 噪音很小 风很柔和 风扇不错 安装方便,"艾美特 【今日特卖】FT70R 静音塔扇/电风扇/遥控睡眠风扇 白色,12415767096, ,6.32kg,中国大陆,FT70R,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",塔扇,艾美特 【今日特卖】FT70R 静音塔扇/电风扇/遥控睡眠风扇 白色
艾美特(Airmate)遥控壁扇 FW3521R电风扇家用节能14吋摇头壁挂5片叶,艾美特子云专卖店,1540230565,,,1500,96,1500,20,30,艾美特（AIRMATE）,风扇不错 安装方便 质量不错 噪音很小 风力很大 遥控方便 使用方便 风很柔和 远程遥控 造型美观 质量不错 广角送风 扇网坚固 睡眠风不错 使用方便,"艾美特(Airmate)遥控壁扇 FW3521R电风扇家用节能14吋摇头壁挂5片叶,1540230565, ,4.3kg,FW3521R,2-8小时,三档调节,正常风,5片,1级,遥控式,壁扇",壁扇,艾美特(Airmate)遥控壁扇 FW3521R电风扇家用节能14吋摇头壁挂5片叶
美的（Midea）FS40-17JRW 变频风扇 /五叶变频台式落地扇 静音智能遥控立式,美的绿灯侠专卖店,11219961738,,,200,95,200,6,5,美的（Midea）,安装方便 风很柔和 遥控方便 风扇不错 噪音很小 电机好 造型美观 风力很大 安全节能 扇网坚固,"美的（Midea）FS40-17JRW 变频风扇 /五叶变频台式落地扇 静音智能遥控立式,11219961738, ,7.3kg,中国大陆,FS40-17JRW,8小时以上,五档调节,正常风、自然风、睡眠风,5片,1级,APP控制,落地扇",落地扇,美的（Midea）FS40-17JRW 变频风扇 /五叶变频台式落地扇 静音智能遥控立式
美的（Midea）电风扇转页扇KYT30-15AW宿舍台式鸿运扇家用台扇12寸电扇包邮,美的绿灯侠专卖店,12050214119,,,500,97,500,6,10,美的（Midea）,风扇不错 使用方便 风很柔和 噪音很小 颜色漂亮 质量不错 底座很稳 扇网坚固 风力很大 安全节能 风扇不错 颜色漂亮 质量不错,"美的（Midea）电风扇转页扇KYT30-15AW宿舍台式鸿运扇家用台扇12寸电扇包邮,12050214119, ,3.3kg,中国大陆,KYT30-15AW,2小时以下,四档调节,正常风,5片,1级,机械式,转页扇",转页扇,美的（Midea）电风扇转页扇KYT30-15AW宿舍台式鸿运扇家用台扇12寸电扇包邮
格力（GREE)FD-4009B 家用床头定时摇头遥控落地扇 节能立式办公宿舍静音电风扇,格力明达丰专卖店,10143138838,,,10000,96,9700,200,200,格力（GREE）,质量不错 遥控方便 噪音很小 安装方便 风扇不错 远程遥控 使用方便 底座很稳 造型美观 风力很大 电机好 扇网坚固 遥控方便 风扇不错,"格力（GREE)FD-4009B 家用床头定时摇头遥控落地扇 节能立式办公宿舍静音电风扇,10143138838, ,8.6kg,FD-4009B,2-8小时,三档调节,正常风,3片,1级,遥控式,落地扇",落地扇,格力（GREE)FD-4009B 家用床头定时摇头遥控落地扇 节能立式办公宿舍静音电风扇
艾美特（AIRMATE） 电风扇家用落地扇五叶遥控风扇/电风【到手价199】 黑色,艾美特华安专卖店,10158203830,,,800,92,700,30,30,艾美特（AIRMATE）,风扇不错 安装方便 风很柔和 风力很大 噪音很小 质量不错 使用方便 遥控方便 远程遥控 底座很稳 安全节能 噪音很小 风扇不错 风力很大 造型美观,"艾美特（AIRMATE） 电风扇家用落地扇五叶遥控风扇/电风【到手价199】 黑色,10158203830, ,7.62kg,FS4092R-WA,2-8小时,四档调节,正常风,5片,1级,遥控式,落地扇",落地扇,艾美特（AIRMATE） 电风扇家用落地扇五叶遥控风扇/电风【到手价199】 黑色
美的（Midea）电风扇遥控落地家用台式无叶静音立式壁扇轻奢塔扇,美的小家电旗舰店,12281948611,,,900,95,800,20,10,美的（Midea）,安装方便 睡眠风不错 颜色漂亮 质量不错 使用方便 造型美观 风扇不错 风很柔和 噪音很小 遥控方便,"美的（Midea）电风扇遥控落地家用台式无叶静音立式壁扇轻奢塔扇,12281948611, ,6.7kg,21056110000231（FZ10-17ARW）,8小时以上,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",塔扇,美的（Midea）电风扇遥控落地家用台式无叶静音立式壁扇轻奢塔扇
艾美特(Airmate)电风扇 吊扇 吸顶扇 纯铜电机1.4米56吋 家用楼顶扇,艾美特子云专卖店,1547674827,,,3000,93,2700,100,100,艾美特（AIRMATE）,风扇不错 质量不错 风力很大 安装方便 使用方便 电机好 噪音很小 造型美观 风很柔和 安全节能 使用方便 风力很大 质量不错 质量不错,"艾美特(Airmate)电风扇 吊扇 吸顶扇 纯铜电机1.4米56吋 家用楼顶扇,1547674827, ,3.0kg,1.4米吊扇,无定时,五档调节,正常风,3片,3级,机械式,吊扇",吊扇,艾美特(Airmate)电风扇 吊扇 吸顶扇 纯铜电机1.4米56吋 家用楼顶扇
美的（Midea）KYT25-17D 电风扇迷你台扇 家用台式转页扇,美的护理旗舰店,12574397126,,,400,95,400,10,10,美的,风很柔和 风扇不错 噪音很小 使用方便 造型美观 风力很大 底座很稳 质量不错 安全节能 电机好 使用方便,"美的 （Midea）KYT25-17D 电风扇迷你台扇 家用台式转页扇,12574397126, ,2.2kg,中国大陆,DS070102MD003,2小时以下,四档调节,正常风,5片,1级,机械式,转页扇",转页扇,美的 （Midea）KYT25-17D 电风扇迷你台扇 家用台式转页扇
