title,ask,answer,content,time_now,user,href
美！真美！！太美了！！！这才是最最美的8妹嘛！！【度盘分享1080p]{花枝狠棒滴哦},"replyreload += ',' + 146535348;,男猪脚是谁？大伙猜猜,{:soso_e113:},3.jpg,(49.4 KB, 下载次数: 98),下载附件,2013-9-2 13:02 上传,回复",,,2013-9-2 13:02,xj007,https://www.jdbbs.com/thread-4910629-1-1.html
,,,下载看看不就知道了？,2013-9-2 13:05,sxshen119,
,,,哪个八妹，不过看美女就进来顶下,2013-9-2 15:25,熊猫发烧友,
,,,美！真美！！太美了！！！这才是最最美的8妹嘛！！,2013-9-2 15:54,凡人凡语,
,,,http://img1.gtimg.com/jiangsu/pics/hv1/140/33/1408/91563755.jpg,2013-9-2 16:10,杨厉鬼,
,,,"8妹的近况,http://js.qq.com/a/20130902/0019 ... 012&ptlang=2052",2013-9-2 16:11,杨厉鬼,
,,,8妹可能早有预感 与我们挥泪而别 8年后出来有是一条悍妹[s:97],2013-9-2 16:11,杨厉鬼,
,,8妹可能早有预感 与我们挥泪而别 8年后出来有是一条悍妹,[s:14][s:97][s:30],2013-9-2 16:14,毛毛的爸爸,
,,,看看这个，希望能不错！,2013-9-2 16:17,ccbb123,
,,,罗马尼亚,2013-9-2 16:20,DANGEROUS91,
,,,kanka hen hao a,2013-9-2 16:45,zwxcrpd,
,,,了！！！这才是最最美的8妹嘛！！【度盘分享1,2013-9-2 17:49,659363187,
,,,下载看看不就知道了？,2013-9-2 18:07,注册过期,
,,,下载看看不就知道了？,2013-9-2 20:20,sunwolf,
,,,111111,2013-9-2 20:25,ljn_1977,
我的新婚彩礼——美的冰箱666,"作,者,被,禁,止,或,删,除, ,内,容,自,动,屏,蔽",,,2017-9-20 16:18,huangwenhua,https://www.jdbbs.com/thread-8355815-1-1.html
出手了！拿下心中完美的4K HDR电视-索尼大法65X9300E,"X9300E.png,(852.5 KB, 下载次数: 0),下载附件,2017-5-17 13:52 上传,下手了,65吋,的索尼,X9300E，本来我是想万元左右买一款4K HDR电视就行，结果凡事就怕仔细研究，越研究越贵。T_T,最初是想买,65X9000E或者LG的55B6P，前者团购最低价基本能到12xxx，后者现在貌似LG在清库存只要95XX就能买到，买之前摇摆不定，也曾经想多吐点血加预算买2万多的65Z9D或者55A1，但是纠结来纠结去还是决定把预算压到2万以内，省点钱带着老婆孩子出去旅游更实惠。,因为家里五年前买的索尼电视还是好好的，一直以为自己能比较淡定的用现有的电视再看几年，本没想在,2017年更新家里的电视，不过去年底买了PS4 Pro之后，经常看到游戏论坛里一群人说说4K提升很明显而且HDR效果非常好，心里就痒痒了。家里之前在用的是当年3D蓝光比较流行时非常经典的一款索尼55HX800，还记得当时在家里看阿凡达3D蓝光那种兴奋的感觉，但是好像除了亲朋好友来给他们放一段3D蓝光感受下电视的3D功能之外，在后来也很少能用到电视的3D功能，究其原因主要是家里看3D内容画面小且那种快门式3D感受始终不如电影院IMAX 3D那种偏振镜方式来得震撼以及舒适，也可能是因为这样的原因今年新出的电视好多都已经放弃了3D功能。,001.png,(722.68 KB, 下载次数: 0),下载附件,2017-5-17 13:57 上传,65吋,比我想象中要大，电视高度已经超过我落地主箱了，视觉冲击力比原来用的,55吋简直不知道好到哪里去。,IMG_7760.JPG,(73.96 KB, 下载次数: 0),下载附件,2017-5-17 13:58 上传,看上图大家就能看出来我没少为守护姨夫的微笑贡献力量，我承认我是索粉，家里败过的索尼产品不在少数，,PlayStation的1234Pro都有，从3代开始基本只玩正版了，所以这篇晒单里我也不回避我是索粉的事实，只是想告诉大家下我入手后的真实想法即可，我也不打算引战，我也会做下老款电视和新的X9300E的画质对比，给那些有升级电视打算的朋友们一个参考。,IMG_0060.JPG,(131.52 KB, 下载次数: 0),下载附件,2017-5-17 13:59 上传,我在开始玩,PS4 Pro感受到超采样在1080P电视上也会有明显的视觉提升之后，就迫不及待想升级到4K电视了，今年已经发布的的新款电视中对索尼的新机印象最深，在论坛里看了好几遍的bjjbaojj大神写的各种新机评测：,https://www.jdbbs.com/thread-8280077-1-1.html,（感兴趣的老铁可以去瞻仰下大神的文章）,首先是对新垣结衣甜蜜的笑容留下了深刻的印象。。。,新桓结衣.jpg,(24.08 KB, 下载次数: 0),下载附件,2017-5-17 13:59 上传,其次。。。。。。是对不同档次的电视有了一个大概的感受，最开始的预算是万元左右后来发现不行，买东西如果没当机立断就怕货比货，对比完就觉得不如再添点软民币换更好的，起初我是想买个,65X9000E，因为看文章说这俩机器比较接近，主要差距是背光和处理芯片，后来我在百度查到三款机型的重量对比：65X9000E/65X9300E/65Z9D 重量分别是 23.2KG/42.4KG/35.7KG，哥就震惊了，居然这么沉，一看就用料很足！-_-; 另外本着买新不买旧以及买沉的机器的原则，基本上确定了下手X9300E。还有看过bjjbaojj的对比图片感觉X9300E在表现暗部画面时比X9000E更好一些，而且看新闻说索尼未来提供Dolby Vision HDR固件升级的要求之一是X9300E/X9400以上的型号，所以虽然要贵出去几千块还是决定下手X9300E了，一步到位买好比较靠谱，免得等过几天看到Dolby Vision好，又惦记再换新机。卖场里也对比看了一下同样65吋,的其他机型，印象最深的是索尼,A1 OLED色彩真挺好，油润立体出屏感觉比较明显，而且明显不同于三爽那些QLED电视喜欢用亮画面演示片的风格，索尼比较多的演示了暗画面和高反差画面的细节展示，从细节表现和黑位上来看几乎无可挑剔了，而迫于预算顾虑，A1和Z9D这种机型表现再好我也买不起咯，所以在卖场对比完之后就锁定了索尼X9300E这款了，物流电话告知收货时，我几乎是飞奔着回家开箱验机的。,IMG_9978.JPG,(155.91 KB, 下载次数: 0),下载附件,2017-5-17 13:59 上传,物流的快递师傅给送到了，木架在楼下拆完扔掉,IMG_7537.JPG,(78.07 KB, 下载次数: 0),下载附件,2017-5-17 14:00 上传,进电梯还不费事，不知道那些买,75吋,电视进电梯会不会很麻烦（大概有钱人都住大别墅吧,…）,IMG_7539.JPG,(80.93 KB, 下载次数: 0),下载附件,2017-5-17 14:01 上传,检查外包装没问题就开始拆箱了，着急看效果，也没约索尼售后来装电视，自己直接自己动手,IMG_7540.JPG,(61.61 KB, 下载次数: 0),下载附件,2017-5-17 14:01 上传,包装内的防震保护做的还是挺好的,IMG_7544.JPG,(97.13 KB, 下载次数: 0),下载附件,2017-5-17 14:01 上传,按照说明书开始一步一步操作，这次索尼背板采用了象牙白的那种网格设计，很有质感。同时，背板可以盖住几乎全部的接口而且线头从脚架下面孔出来，柜式摆放确实非常漂亮，这是一个设计亮点,IMG_7545.JPG,(48.29 KB, 下载次数: 0),下载附件,2017-5-17 14:02 上传,IMG_9981.JPG,(125.06 KB, 下载次数: 1),下载附件,2017-5-17 14:02 上传,IMG_9986.JPG,(115.2 KB, 下载次数: 0),下载附件,2017-5-17 14:02 上传,IMG_9988.JPG,(127.98 KB, 下载次数: 0),下载附件,2017-5-17 14:02 上传,逐个抠开背板才能看到所有的接口，包括,USB也隐藏起来了，反正家里有高清机也不打算用电视的USB口放太多电影也就无所谓了,IMG_8061.JPG,(46.52 KB, 下载次数: 0),下载附件,2017-5-17 14:03 上传,电视设计的十分巧妙，左侧的电源线和右侧的视频线可以从穿线绑带里穿过，然后从电视脚架中直接输出给电视柜下方，这样从正面观看电视，整个视野范围内不会出现任何烦人的线缆,IMG_8062.JPG,(43.36 KB, 下载次数: 0),下载附件,2017-5-17 14:03 上传,现在厂家为了电视的整体美观真是操碎了心，我上一台电视哪有这么多捆线设计，真是越做越人性化了,IMG_8063.JPG,(30.76 KB, 下载次数: 0),下载附件,2017-5-17 14:03 上传,连接好,HDMI视频线和电源线后就扣上后盖了,IMG_8068.JPG,(38.85 KB, 下载次数: 0),下载附件,2017-5-17 14:03 上传,IMG_8071.JPG,(40.13 KB, 下载次数: 0),下载附件,2017-5-17 14:03 上传,IMG_7554.JPG,(36.67 KB, 下载次数: 0),下载附件,2017-5-17 14:04 上传,这样从电视正面真的是几乎完全看不到电源线和视频线,QQ截图20170503194402.jpg,(74.11 KB, 下载次数: 0),下载附件,2017-5-17 14:05 上传,QQ截图20170503194458.jpg,(59.21 KB, 下载次数: 0),下载附件,2017-5-17 14:05 上传,装好之后效果图应该是这样和这样的，我家装修太差，自己拍的照片体现不出美感，就盗个官方图，基本上装好了就是这样的视觉效果了，哈哈,IMG_7553.JPG,(43.66 KB, 下载次数: 0),下载附件,2017-5-17 14:05 上传,遥控器也比上一代遥控器手感要更舒适，几乎无缝隙的设计用起来也无需担心会有水漏进去，也不用再保留这个塑料袋怕脏了，可以裸奔着用了,IMG_7557.JPG,(51.14 KB, 下载次数: 1),下载附件,2017-5-17 14:05 上传,IMG_7559.JPG,(42.82 KB, 下载次数: 0),下载附件,2017-5-17 14:05 上传,这是支持语音输入的遥控器，比以前的遥控器更进步了哟,IMG_7560.JPG,(38.95 KB, 下载次数: 1),下载附件,2017-5-17 14:06 上传,遥控器背板有皮质感觉握感舒适，不会出现滑手的感觉,IMG_7561.JPG,(43.14 KB, 下载次数: 0),下载附件,2017-5-17 14:06 上传,IMG_7562.JPG,(34.39 KB, 下载次数: 0),下载附件,2017-5-17 14:06 上传,硬币大法给大家感受一下厚度，其实电视薄厚我本来并不在意，我看电视又不看侧面，只要正面看着爽就好了，不过在我看到,X9300E的壁挂架之后我才发现电视的侧面也可以这样美，文章后面再具体说，这里先留个伏笔。,IMG_9994.JPG,(75.88 KB, 下载次数: 0),下载附件,2017-5-17 14:12 上传,老电视挪走，新的,65吋,比,55吋还是大了不少，电视柜几乎放不下了,IMG_9996.JPG,(86.01 KB, 下载次数: 0),下载附件,2017-5-17 14:12 上传,正式跟老的,55吋电视说再见咯，准备挪到主卧挂墙去,从网上资料看索尼,X9300E在硬件上与去年的D系列相比，较有吸引力的升级主要有三点，分别是：,1.采用了索尼旗舰电视Z9D的X1进阶版图像处理芯片,2.使用动态背光系统-精英版+（这里别小看只是多了个“+”，据说在实际的亮度和对比度的表现上都有了相当大的提升呢！）,3.使用了更好的扬声器喇叭,由,Z9D下放给X9300E的X1进阶版芯片实力确实好，X9300E在各分辨率信号输入的情况下画质均有非常显著的进步，可以说画面立体感完爆其他品牌产品。另外还有HDR动态重塑技术、14bit HDR平滑渐变技术之类听上去很黑科技的特点。还有X9300E采用了动态背光系统-精英版+ ，这种背光控制系统通过调节局部背光灯的亮度大小，来实现更高的对比度与完全的黑位。普通侧入式液晶电视由于无法完全关闭背光灯，所以对比度小，黑位也发灰。索尼独有的动态背光系统精英版+利用双层背光板和四组背光灯，实现了侧入式结构下的多分区背光控制。后面我除了测试有线电视信号，还使用4K高清播放器播放蓝光碟还有PS4 Pro游戏感受,IMG_0001.JPG,(36.79 KB, 下载次数: 0),下载附件,2017-5-17 14:19 上传,开机链接,WiFi，还支持5G网络，检测新固件还没有新版的,IMG_7593.JPG,(47.08 KB, 下载次数: 0),下载附件,2017-5-17 14:19 上传,打开,HDMI增强模式可以激活PS4 Pro的4K RGB HDR能力,首先我先连上家里联通光纤宽带赠送的,4K电视IPTV机顶盒,0002.jpg,(119.35 KB, 下载次数: 0),下载附件,2017-5-17 14:25 上传,切换到,2160P输出,联通虽然提供了,4K直播4K点播内容，不过感觉片源只是高码率的1080P的信号，因为有些电影根本就没发布4K版本呢。。。联通有点忽悠人,0003.jpg,(110.35 KB, 下载次数: 0),下载附件,2017-5-17 14:26 上传,不过虽然联通的,4K频道分辨率相对比普通高清提升不是特别高，不过还是比普通的电视直播频道分辨率好很多，尤其是电影内容的画面细节和黑位以及层次感要好不少。,IMG_0028.JPG,(97.73 KB, 下载次数: 0),下载附件,2017-5-17 14:27 上传,差不多大概十几年前我记得买,CRT电视的时候，那会买索尼AR和DR系列电视比较明显的一个区别就是看电视台左上角台标的边缘平滑度和稳定性，现在也不用看这个了,0004.jpg,(94.18 KB, 下载次数: 1),下载附件,2017-5-17 14:32 上传,请大家不要看左上角，看右上角，哈哈，给索尼,+1S,之前因为买了,PS VR看论坛有人说这个VR的盒子无法通过HDR信号，所以在玩游戏的时候会来回插拔HDMI输出绕过VR盒子，大家给出的解决办法是买一个HDMI分配器，所以我也提前下单买了一个HDMI分屏器来解决绕过PS VR盒子不支持HDR的问题，没想到这个盒子还支持HDMI 2.0，正好晚上测试信号的时候直接用这个分屏器把新买的65X9300E和老的55HX800都连上，直接看看画面对比，让自己有一个更直观的视觉印象。,以下对比图片都是上为,65X9300E下为55HX800，另外因为手机摄像头宽容度有限，所以有时候可能一个曝光正常，另外一个欠曝或者过曝，实际上两者画面都是正常曝光，只是X9300E的色彩饱和度和亮度对比度都会好于HX800，所以画面对比的照片仅供大家参考，而每一张对比画面都是同一次快门所拍下来的，实际观看电视的时候是电视本身并没有过曝输出的情况，如果有局部过曝只是拍照造成的效果而已，但是色彩输出的差异和亮度对比度差异还是真实存在的。,vs01.jpg,(120.36 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs03.jpg,(132.72 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs04.jpg,(153.67 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,是不是差距很大？我对比了几分钟就觉得这钱升级买电视太值了，我还仔细确认了一下两个电视都是标准模式，也都关闭了环境光自动感应功能，老电视就感觉虽然曝光正常，但是人物皮肤像抹了腊一样，上边,X9300E就肤色自然很多，而且色彩饱和度好，人物立体感也好。,vs08.jpg,(132.77 KB, 下载次数: 1),下载附件,2017-5-17 14:33 上传,观看球赛画面的时候因为觉得颜色差太多，所以索性把,HX800切换到鲜艳模式，竟然还跟X9300E的标准模式差异巨大，甚至画面有些失真了,vs02.jpg,(129.31 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs05.jpg,(102.88 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,这杯子的立体感和反光对比差异极大，,X9300E表现的画面甚至有一种真实存在的出屏感,vs07.jpg,(66.83 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,天空色彩的丰富程度和高反差都被,X9300E出色的还原了,vs06.jpg,(190.67 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs10.jpg,(267.72 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs09.jpg,(127.63 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs11.jpg,(268.3 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,明显玻璃的反光和层次感表现在,X9300E上更好更真实,vs12.jpg,(128.42 KB, 下载次数: 1),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,对比了大量画面之后觉得,X9300E把有线电视的信号提升的有一种脱胎换骨之感,vs14.jpg,(123.83 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,接下来接上,PS4 Pro到分屏器上，因为HX800只支持1080P分辨率，所以如果选择4K输出的话HX800会无显示，为了感受两个机器的色彩表现差异，索性就切换到1080P状态下，用超采样的画面和2K HDR来感受两者的区别。,测试的游戏是近期比较火的《地平线,·黎明时分》，第一方的原生4K HDR游戏,vs27.jpg,(180.63 KB, 下载次数: 1),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs29.jpg,(241.43 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,默认首次进入游戏的时候是开启,HDR状态，HX800这种SDR设备接收到HDR信号的时候就是会出现这种灰白灰白的画面输出,vs30.jpg,(244.85 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,这是关闭,HDR之后，同样都是SDR信号的情况下两台电视的画面区别，明显也是X9300E表现好很多，开启HDR后X9300E会表现出更大的亮度反差以及画面细节,vs28.jpg,(214.32 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,我只想说画面不管是,SDR还是HDR状态都提升很大，让我有重新玩一遍的冲动,vs32.jpg,(196.89 KB, 下载次数: 2),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,神秘海域，注意天空曾侧和细节，还有车身暗部细节都表现得非常好,vs31.jpg,(215.98 KB, 下载次数: 1),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,《最后的守护者》,HDR和SDR画面对比,对比过游戏之后，还对比了一下我们平时用电视看的最多的高清蓝光碟，信号源是淘宝入的,Zidoo X9S，这是一个RTD1295解码的播放器，价格6XX，支持4K HDR，比开XX的同芯片的产品性价比好不少。我先试一下4K片段，然后再试一下BD蓝光的播放效果。,vs17.jpg,(220.54 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,经典的烤鸭演示片，人物肤色和色彩饱和度差异明显，烤鸭的油腻感表现得淋漓尽致,vs26.jpg,(247.74 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,这个是带,HDR的行星地球2的下载版，没想到SDR设备看和HDR设备看差异真巨大，完全是两个片子的感觉,vs20.jpg,(263.83 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,还用一段,HDR风光的演示片进行对比,vs18.jpg,(105.92 KB, 下载次数: 1),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs19.jpg,(188.25 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs21.jpg,(124.65 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs22.jpg,(243.56 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs23.jpg,(228.08 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs24.jpg,(140.11 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,我的天，完全的。。。不一样,vs25.jpg,(112.85 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,然后我又试了一下带,HDR的破解版蓝精灵2的UHD蓝光，播放的时候画面差异就更加明显,vs15.jpg,(161.73 KB, 下载次数: 1),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,vs16.jpg,(234.94 KB, 下载次数: 0),下载附件,2017-5-17 14:33 上传,上为,65X9300E，下为55HX800,是时候跟,SDR说再见，快来拥抱HDR的世界吧,文章最开始说关于,X9300E的挂架，我说有一个伏笔是因为我在逛游戏论坛的时候看到一个网友晒他壁挂X9300E的照片，是索尼原厂特别给X9300E定制的超薄挂架，看了后感觉直接中毒，虽然我这次着急看电视直接放电视柜了，但是看到这个网友的照片之后决定还是联系索尼售后把电视挂上，这款壁挂架设计的实在是太美太超薄了，而且这个专门定制的挂架可以旋转，观看角度可以更随意自由，有木有很屌！,壁挂.jpg,(236.11 KB, 下载次数: 1),下载附件,2017-5-17 14:33 上传,做完对比测试之后，跟老婆一起坐地上看综艺节目，老婆还问为什么两台电视播一样的节目，这台,65吋,的画面这么好，我的回答是：主要是钱花到位了，索尼大法好！哈哈,;D",,,2017-5-17 14:16,疯狂泰山,https://www.jdbbs.com/thread-8304761-1-1.html
,,,板凳占个楼,2017-5-17 14:17,疯狂泰山,
,,,看楼主文章，醒悟很多。,2017-5-17 15:21,baolei12345678,
,,,12XXX，刚查了京东要近2W，楼主哪买的？,2017-5-17 15:38,YAMAHA781,
,,12XXX，刚查了京东要近2W，楼主哪买的？,这么便宜啊，难怪完美，这价值了。,2017-5-17 15:40,ngh913,
,,,"请问楼主你的电视柜高度是多少，我也想买这款，可家里电视柜高度只有35CM,墙壁装修时搞的太薄",2017-5-17 15:45,ZHAOHUIHU,
,,看楼主文章，醒悟很多。,知道索尼大法为啥好了吧。,2017-5-17 15:49,chncwk,
,,12XXX，刚查了京东要近2W，楼主哪买的？,是65X9000E团购价12xxx，并不是X9300E的价格,2017-5-17 16:49,疯狂泰山,
,,"请问楼主你的电视柜高度是多少，我也想买这款，可家里电视柜高度只有35CM,墙壁装修时搞的太薄",电视柜没量过，但是准备还是上墙，这机器上墙挂着更好看,2017-5-17 16:51,疯狂泰山,
,,这么便宜啊，难怪完美，这价值了。,并没便宜那么多，淘宝团购都能比官网报价便宜3k多吧,2017-5-17 16:54,疯狂泰山,
,,,楼主方便透漏下购买渠道和价格吗，准备入手同款机器！,2017-5-17 17:06,OscarV,
,,,93E是好机，可惜lz拍的太烂了。,2017-5-17 17:25,danny983,
,,,前列支持，心中默念，索尼大法好,2017-5-17 17:40,gmwf2003,
,,,真是太爽了呀，有点迫不及待的感觉，这个很正常，很多人都这样的,2017-5-17 18:34,爱上卫,
,,,还不错,2017-5-17 18:58,joneyz,
发个塞尔达荒野之息的屏射，美的让人神往,"爱死这个卡通渲染了，画面美得让人神往，当时地平线刚玩儿两天，然后出国出差顺道就买了个NS，然后就沉迷塞尔带，完全忘了还扔着地平线吃灰,部分播片部分实际游戏，NS系统截图就有压缩，所以有些地方色阶是压缩造成的",,,2017-4-10 00:33,moto4ever,https://www.jdbbs.com/thread-8291054-1-1.html
,,,好,2017-4-10 00:35,loginant,
,,,好,2017-4-10 00:35,loginant,
,,,这游戏世界太大，能加个小伙伴就更嗨了，至少来个2P吧。,2017-4-10 00:38,黄金招财猫,
,,这游戏世界太大，能加个小伙伴就更嗨了，至少来个2P吧。,2p分屏肯定跑不动了，联机倒是很不错，不过就不是塞尔达了,2017-4-10 00:55,moto4ever,
,,,在手机上都能看到电视的颗粒，还吹捧个什么劲，脸都过爆到吓死人。,2017-4-10 10:15,walkman758,
,,在手机上都能看到电视的颗粒，还吹捧个什么劲，脸都过爆到吓死人。,"卡通渲染的高光处理就是这样，不懂先去学，NS的TV模式只有900P，但是一样美，你的审美只看的懂分辨率还是去看4K小电影吧,还有，屏幕上那是摩尔纹，不是什么颗粒，无知真可怕",2017-4-10 10:31,moto4ever,
,,2p分屏肯定跑不动了，联机倒是很不错，不过就不是塞尔达了,我一般都是两个人分别用一个控制器两人配合着玩，效果很赞,2017-4-10 10:52,longfei39,
,,,NS接电浆，就是一个爽,2017-4-10 11:12,星毅℡/星星,
,,NS接电浆，就是一个爽,画面太有灵性了,2017-4-10 11:12,moto4ever,
,,,"满屏锯齿。。。。。,任社硬件配置上总是这么小气，配置总是落后别人1.5个世代",2017-4-10 11:15,boyhanyu,
,,卡通渲染的高光处理就是这样，不懂先去学，NS的TV模式只有900P，但是一样美，你的审美只看的懂分辨率还是 ...,别吹捧你的垃圾货了，没人喜欢画面的颗粒感，除了你这种审美奇葩的人。你应该去找个熊猫黑白电视看看 那个更适合你,2017-4-10 11:17,walkman758,
,,别吹捧你的垃圾货了，没人喜欢画面的颗粒感，除了你这种审美奇葩的人。你应该去找个熊猫黑白电视看看 那 ...,威望-3的奇葩，你继续叫,2017-4-10 11:21,moto4ever,
,,"满屏锯齿。。。。。,任社硬件配置上总是这么小气，配置总是落后别人1.5个世代",分辨率是不高，但是不影响整体的美感，尤其掌机模式本身点对点，而且这次光影特效特别良心，一个卡通渲染配全局光照，这还是头一次,2017-4-10 11:23,moto4ever,
,,威望-3的奇葩，你继续叫,穷到没钱换电视就直说 抱着烂货说无敌就是你的不对了,2017-4-10 11:23,walkman758,
,,穷到没钱换电视就直说 抱着烂货说无敌就是你的不对了,哈哈哈哈哈笑尿了，对我没钱换电视，穷死了快，这花3600买了一个塞尔达，送了个NS，要吃土好几个月哦,2017-4-10 11:25,moto4ever,
看看海尔美的热水器，都由保修变成“包修”了，而且8年，电视什么时候也进入服务竞争,品质高才能节省维修成本，顾客才能是上帝。。。现在靠着维修，挣黑心钱模式，早晚淘汰,,,2017-1-26 08:07,busseen,https://www.jdbbs.com/thread-8163745-1-1.html
咋老美的x700d评分很不错啊，就电影差点,"国内x7000d是缩水版本嘛？校准后分值不低啊，http://www.rtings.com/tv/reviews/sony/x700d,看看电视，在线视频应该够了吧",,,2016-11-2 00:34,sharpgun,https://www.jdbbs.com/thread-7864315-1-1.html
Lg的4100性价比如何？有没有亮点呢？国美的价格很心动,42寸的4058，还有400节能补贴，再送300通用券，请教这款电视机各个方面有何短板？画质如何？,,,2012-9-13 23:30,anya1228,https://www.jdbbs.com/thread-4431072-1-1.html
